"","gene","tissue","prot","mrna"
"301","ENSG00000065000","uterus",1.43959434833794e-07,2.88000000159665e-05
"303","ENSG00000065135","uterus",2.55076126314513e-05,3.78000000141675e-05
"304","ENSG00000065150","uterus",1.43766070001748e-05,4.78999999542762e-05
"305","ENSG00000065154","uterus",1.47815829547719e-05,8.29000000858457e-05
"314","ENSG00000065534","uterus",6.09507184242054e-06,0.000504599999789053
"325","ENSG00000066044","uterus",2.76871476679751e-05,3.10999999980782e-05
"332","ENSG00000066583","uterus",3.64119696443474e-05,9.27999999532336e-05
"338","ENSG00000067057","uterus",6.78668559170026e-05,3.15000000152606e-05
"339","ENSG00000067064","uterus",1.03454623135602e-06,2.22999999975271e-05
"343","ENSG00000067225","uterus",0.000670992680949931,0.000158600000006725
"346","ENSG00000067560","uterus",0.000188965578772175,0.000244999999794355
"347","ENSG00000067704","uterus",1.13748102064156e-05,3.18999999957999e-05
"349","ENSG00000067900","uterus",1.7229591984359e-07,2.52999999897577e-05
"355","ENSG00000068366","uterus",3.69717069486176e-07,2.1500000004178e-05
"358","ENSG00000068793","uterus",6.24061592489316e-06,3.30000000092788e-05
"366","ENSG00000069329","uterus",6.09940337880326e-05,3.86999999983148e-05
"367","ENSG00000069345","uterus",4.62474411050031e-06,3.99000000287794e-05
"373","ENSG00000069998","uterus",5.08830772251689e-06,1.48999999858555e-05
"374","ENSG00000070010","uterus",4.1258535278611e-06,3.49000000032803e-05
"376","ENSG00000070081","uterus",2.78769419036918e-05,6.99999999977021e-05
"386","ENSG00000070756","uterus",5.26861891850194e-06,0.000278899999829145
"391","ENSG00000070831","uterus",0.000152171118915719,7.4700000031752e-05
"395","ENSG00000071127","uterus",0.000178732307375308,0.000143499999976867
"399","ENSG00000071282","uterus",1.02353868589683e-05,2.0099999980539e-05
"400","ENSG00000071537","uterus",3.11433253643269e-06,2.75999999958553e-05
"404","ENSG00000072042","uterus",4.59880859108614e-05,3.83999999675032e-05
